Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,21.016578888872615
MachineOuterRadius_mm,41.5
MachineThickness_mm,21.659000000000002
FullMachineOuterRadius_mm,41.5
FullMachineInnerRadius_mm,21.017
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,2.767096046934507
BackIronStatorInnerRadius_mm,23.782
BackIronStatorOuterRadius_mm,38.735
TeethNumber,18
TeethThickness_mm,11.163193025664645
TeethInnerRadius_mm,23.782
TeethOuterRadius_mm,38.735
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,2.765463860898183
StatorMaxThickness_mm,14.18
StatorMinThickness_mm,14.18
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,2.4586460145207094
MagnetsNumber,20
MagnetsThickness_mm,4.770528411212881
MagnetsInnerRadius_mm,23.282
MagnetsOuterRadius_mm,39.235
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,7.479
RotorMinThickness_mm,7.479
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,11SMn30
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,15000000.0
DCSupplyVoltage,48.0
FillFactor,0.6
RPM,2500.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,18
Poles,20
ElectricalFrequency_Hz,416.66666666666663
CurrentDensityPeak,21213203.43559643
Output,
SlotFillFactor,
RmsSupplyCurrent_A,262.9979532896396
PeakSupplyCurrent_A,371.93527241857413
PeakCurrentDensity_Aperm2,12727922.061357858
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,371.93527241857635
AverageDAxisPhase_V,-0.6027338776784258
AverageQAxisPhase_V,1.8380479044545956
PeakPhaseBackEmf_V,1.7046841457834132
RmsPhaseBackEmf_V,1.2053937192646487
PeakPhaseTerminalVoltage_V,1.934349561576501
PeakLineToLineTerminalVoltage_SVM_V,3.350391720249082
PeakLineToLineBackEmf_V,2.9525995513540226
RmsLineToLineBackEmf_V,2.0878031648907873
PeakPhaseInducedVoltage_V,1.8341821807654832
RmsPhaseInducedVoltage_V,1.2969626579508031
PeakLineToLineInducedVoltage_V,3.1768967274232995
RmsLineToLineInducedVoltage_V,2.246405219090366
TotalTorque_Nm,3.9249479046811984
ReluctanceTorque_Nm,-0.0
MagnetTorque_Nm,3.6293860324876794
CoggingTorque_Nm,0.036716258882368125
TorqueRipple_Percent,3.0079453613208753
TorqueRippleAbsolute_Nm,0.118060288433119
TorquePerAxialHeight_NmPerm,181.21556418492074
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,7.9700925949600325
TorqueDensityCopperMass_NmPerKg,28.318885093318602
TorqueDensityMagnetMass_NmPerKg,36.05814073892375
ApperentElectricalPower_W,1079.1792467065643
ActiveElectricalPower_W,1025.4522720925702
OutputMechanicalPower_KW,1.0274732734767535
Efficiency_Percent,92.4809314964661
PowerFactor,0.9502149668111596
StatorWindingResistanceLoss_W,58.985331751587296
StatorWindingSimulationLoss_W,58.99025075873062
TotalIronCoreLoss_W,7.4796282033298125
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,0.44501597444834795
SteinmetzHysteresisLossBackirons_W,0.20063568590514116
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,0.6456516603534891
SteinmetzEddyHysteresisLossTeeth_W,0.5080020070388902
SteinmetzEddyLossTeeth_W,2.0380904799066186e-12
SteinmetzEddyHysteresisLossBackirons_W,0.2290329698372517
SteinmetzEddyLossBackirons_W,9.118471481463486e-13
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,0.7370349768790917
BertottiHysteresisLossTeeth_W,0.007720652748287984
BertottiEddyLossTeeth_W,12.934068712502622
BertottiExcessLossTeeth_W,1.2127749942110173
BertottiHysteresisLossBackirons_W,0.004039074429976491
BertottiEddyLossBackirons_W,5.786737039252904
BertottiExcessLossBackirons_W,0.5594099486677345
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,20.504750421812542
MaxwellHysteresisLossTeeth_W,0.0295310181781868
MaxwellEddyLossTeeth_W,12.304590907454758
MaxwellExcessLossTeeth_W,1.3691924086318523
MaxwellHysteresisLossBackirons_W,0.013212256753621358
MaxwellEddyLossBackirons_W,5.505106980620459
MaxwellExcessLossBackirons_W,0.6315597358826516
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,19.853193307521526
MagnetEddyCurrentLoss_W,6.884428571428572
OtherEddyCurrentLoss_W,10.188285714285714
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,83.53767424063139
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1061.1241315637546
MinDemagField_kAPerM,-1247.2682330995258
MaxDemagFactor,0.7108236421692455
MinDemagFactor,0.7108236421692455
DemagFactorPercentile99_9,0.7108236421692455
DemagFactorPercentile99,0.7108236421692455
DemagFactorPercentile95,0.7108236421692455
DemagFactorPercentile90,0.7108236421692455
DemagFactorPercentile85,0.7108236421692455
DemagFactorPercentile80,0.7108236421692455
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.711
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,-inf
DemagPerformanceDegrationOnTorque_Percent,1.08
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,1467.9012628360647
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,1466.5473402705272
BackEmfConstantPhasePeakKe_VPerRpm,0.0006812447303628214
BackEmfConstantPhasePeakKeElec_VsPerRad,0.0006505407977552906
BackEmfConstantPhasePeakKeMech_VsPerRad,0.006505407977552905
BackEmfConstantLineToLineRmsKe_VPerRpm,0.0008343509896744114
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.0007967465056817849
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.007967465056817849
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.0006818736583133652
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.0006511413797083568
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.006511413797083568
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.0008351212659563148
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.0007974820653486532
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.007974820653486533
TorqueConstantKtFromFluxLinkage_NmPerA,0.009758111966329358
TorqueConstantKtFromFluxLinkage_NmPerArms,0.01380005428593817
TorqueConstantOptimalNoLoadKt_NmPerA,0.009767120695625353
TorqueConstantOptimalNoLoadKt_NmPerArms,0.013812794553088314
