Parameter,Value
BackEmfConstantPhasePeakKeElec_VsPerRad,0.0001889779253146548
BackEmfConstantPhasePeakKeMech_VsPerRad,0.0018897792531465478
BackEmfConstantLineToLineRmsKe_VPerRpm,0.0002423736060166519
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.00023144974483534615
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.0023144974483534616
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.00020001571459458143
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.00019100093804271233
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.0019100093804271232
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.00024496822064743736
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.00023392741929879456
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.0023392741929879456
TorqueConstantKtFromFluxLinkage_NmPerA,0.0028346688797198216
TorqueConstantKtFromFluxLinkage_NmPerArms,0.00400882717453672
TorqueConstantOptimalNoLoadKt_NmPerA,0.002865014070640685
TorqueConstantOptimalNoLoadKt_NmPerArms,0.004051741755089806
TorqueConstantLoadedKt_NmPerA,0.0029143916281950876
TorqueConstantLoadedKt_NmPerArms,0.0041215721666601
MotorConstantKm_NmPerSqrtW,0.14672646806541917
SpecificMotorConstant_NmPerSqrtWPerKg,0.8090896403762325
Saturation_Percent,-1.7234664939485214
AverageAirgapFluxDensity_T,0.044127076155288616
MaximumAirgapFluxDensity_T,2.392450589922118
PeakStatorToothAverageFluxDensity_T,
PeakStatorBackIronAverageFluxDensity_T,
PeakRotorBackIronAverageFluxDensity_T,
DAxisInductanceLd_uH,0.6188808222835344
QAxisInductanceLq_uH,0.559321066297899
DQAxisInductanceAvgLdq_uH,-0.014448069977148918
DQAxisInductanceLdqFromD_uH,-0.01101707055169024
DQAxisInductanceLdqFromQ_uH,-0.017879069402607597
PermanentMagnetFluxLinkageLoad_mWb,0.1889779253146548
PermanentMagnetFluxLinkageLoadQ_mWb,-0.009416182660691656
LoadedFluxLinkageD_mWb,0.1846804260591458
LoadedFluxLinkageQ_mWb,0.1254126299323827
PhaseSelfInductanceLself_uH,
PhaseMutualInductanceLmutual_uH,
VolumeMagnet_m3,2.727542470113496e-07
VolumeX_m3,0.0
VolumeRotorBackiron_m3,1.090337191477371e-06
VolumeTooth_m3,3.6908181607152165e-07
VolumeCopperInclFillFactor_m3,3.0616146099509e-07
VolumePoleShoe_m3,0.0
VolumeStatorBackiron_m3,3.8967763356309116e-06
MassMagnet_Kg,0.0020592945649356856
MassX_Kg,0.0
MassRotorBackiron_Kg,0.008570050325012216
MassTooth_Kg,0.0028788381653578714
MassCopperInclFillFactor_Kg,0.002743206690515993
MassPoleShoe_Kg,0.0
MassStatorBackiron_Kg,0.030394855417921057
MassMagnetPerMachine_Kg,0.041185891298713716
MassXPerMachine_Kg,0.0
MassRotorBackironPerMachine_Kg,0.008570050325012216
MassToothPerMachine_Kg,0.051819086976441685
MassCopperInclFillFactorPerMachine_Kg,0.049377720429287876
MassPoleShoePerMachine_Kg,0.0
MassStatorBackironPerMachine_Kg,0.030394855417921057
MassMinRotorPerMachine_Kg,
MassMinStatorPerMachine_Kg,
MassMaxRotorPerMachine_Kg,
MassMaxStatorPerMachine_Kg,
MassMachine_Kg,0.18134760444737655
MomentOfInertiaRotor_KgM2,1.8199173524922428e-05
ResistanceCoil_Ohm,4.0224216701928164e-05
ResistanceSinglePhase_Ohm,
ResistanceMachinePhase_Ohm,0.000241345300211569
AirgapTangentialForceAverage_N,-37.35111053938071
AirgapAxialForceAverage_N,211.38845443288162
AirgapRadialForceAverage_N,-3.3173799829402157
AirgapShearStress_Pa,40596.802834166156
MagnetAxialForcePositiveMaximum_N,0
MagnetAxialForcePositiveMinimum_N,0
MagnetAxialForceNegativeMaximum_N,-54.545921946008356
MagnetAxialForceNegativeMinimum_N,-44.004286599808616
MagnetRadialForcePositiveMaximum_N,14.121196895020885
MagnetRadialForceNegativeMaximum_N,-14.614580598839606
MagnetTangentialForceMaximum_N,14.785199288926925
MagnetForceElecFrequency_Hz,833.3333333333333
MagnetForceMechFrequency_Hz,83.33333333333333
OutputMinCoreWidth_mm,1.969
DAxisAlignmentAngle_Deg,35.91339139713977
PermanentMagnetFluxLinkageNoLoadMin_mWb,0.19222573704588808
PermanentMagnetFluxLinkageNoLoadMax_mWb,0.1897761390395366
PermanentMagnetFluxLinkageNoLoadAvg_mWb,0.19100093804271234
TotalMachineCost_USD,
RotationalFrequencyElec_Hz,416.66666666666663
RotationalFrequencyMech_Hz,41.666666666666664
ShortCircuitPeakTorque_Nm,0.9457114418095046
ShortCircuitPeakId_A,517.4488594229637
ShortCircuitPeakIq_A,360.7448948238089
ShortCircuitAvgId_A,-297.96897563703885
ShortCircuitAvgIq_A,-49.343425403863776
ShortCircuitAvgIActive_A,302.02696444965136
ShortCircuitRmsIa_Arms,213.38386799950703
ShortCircuitRmsIb_Arms,213.54100149889413
ShortCircuitRmsIc_Arms,213.77089728211538
ShortCircuitDemagId_A,-517.4488594229637
ShortCircuitDemagIq_A,-96.87725227361696
ShortCircuitDemagIActive_A,526.4394781228058
ShortCircuitDemagIActiveDensityRMS_A_per_m2,32773906.221517053
ShortCircuitDemagThetaE_deg,100.60420753094824
ASCAverageTorque_Nm,
ASCAverageLoadedFluxLinkageD_Wb,
ASCAverageLoadedFluxLinkageQ_Wb,
ASCTorqueReduction_Percent,
ASCLoadedFluxLinkageDReduction_Percent,
ASCLoadedFluxLinkageQReduction_Percent,
ASCAirgapAxialForceAverage_N,
ASCMagnetAxialForcePositiveMaximum_N,
ASCMagnetAxialForcePositiveMinimum_N,
ASCMagnetAxialForceNegativeMaximum_N,
ASCMagnetAxialForceNegativeMinimum_N,
ASCMagnetRadialForcePositiveMaximum_N,
ASCMagnetRadialForceNegativeMaximum_N,
ASCMagnetTangentialForceMaximum_N,
