Parameter,Value
BackEmfConstantPhasePeakKeElec_VsPerRad,0.00024114697451902274
BackEmfConstantPhasePeakKeMech_VsPerRad,0.0016880288216331591
BackEmfConstantLineToLineRmsKe_VPerRpm,0.00021649810784939394
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.0002953435202937713
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.0020674046420563986
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.00017784349923502047
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.00024261147428582757
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.001698280320000793
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.00021781291359842527
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.00029713715887231965
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.0020799601121062375
TorqueConstantKtFromFluxLinkage_NmPerA,0.0025320432324497386
TorqueConstantKtFromFluxLinkage_NmPerArms,0.003580849879845432
TorqueConstantOptimalNoLoadKt_NmPerA,0.0025474204800011893
TorqueConstantOptimalNoLoadKt_NmPerArms,0.003602596591884662
TorqueConstantLoadedKt_NmPerA,0.0027671990991653336
TorqueConstantLoadedKt_NmPerArms,0.003913410495826226
MotorConstantKm_NmPerSqrtW,0.17222212393806782
SpecificMotorConstant_NmPerSqrtWPerKg,0.6757620659689421
Saturation_Percent,-8.627496751696114
AverageAirgapFluxDensity_T,0.031855751457409084
MaximumAirgapFluxDensity_T,2.8616390306643362
PeakStatorToothAverageFluxDensity_T,
PeakStatorBackIronAverageFluxDensity_T,
PeakRotorBackIronAverageFluxDensity_T,
DAxisInductanceLd_uH,0.47878341616582837
QAxisInductanceLq_uH,0.4574020500043327
DQAxisInductanceAvgLdq_uH,-0.011327317149970848
DQAxisInductanceLdqFromD_uH,-0.04338623062729055
DQAxisInductanceLdqFromQ_uH,0.02073159632734885
PermanentMagnetFluxLinkageLoad_mWb,0.24114697451902273
PermanentMagnetFluxLinkageLoadQ_mWb,-0.008046292744414566
LoadedFluxLinkageD_mWb,0.2482970867835152
LoadedFluxLinkageQ_mWb,0.14670438664782265
PhaseSelfInductanceLself_uH,
PhaseMutualInductanceLmutual_uH,
VolumeMagnet_m3,4.911057776769684e-07
VolumeX_m3,0.0
VolumeRotorBackiron_m3,3.2420755983308172e-06
VolumeTooth_m3,8.248727731112292e-07
VolumeCopperInclFillFactor_m3,5.821263731606228e-07
VolumePoleShoe_m3,0.0
VolumeStatorBackiron_m3,4.8288774377135065e-06
MassMagnet_Kg,0.003707848621461116
MassX_Kg,0.0
MassRotorBackiron_Kg,0.02548271420288036
MassTooth_Kg,0.006434007630267604
MassCopperInclFillFactor_Kg,0.0052158523035192176
MassPoleShoe_Kg,0.0
MassStatorBackiron_Kg,0.03766524401416583
MassMagnetPerMachine_Kg,0.05190988070045563
MassXPerMachine_Kg,0.0
MassRotorBackironPerMachine_Kg,0.02548271420288036
MassToothPerMachine_Kg,0.07720809156321125
MassCopperInclFillFactorPerMachine_Kg,0.06259022764223061
MassPoleShoePerMachine_Kg,0.0
MassStatorBackironPerMachine_Kg,0.03766524401416583
MassMinRotorPerMachine_Kg,
MassMinStatorPerMachine_Kg,
MassMaxRotorPerMachine_Kg,
MassMaxStatorPerMachine_Kg,
MassMachine_Kg,0.2548561581229437
MomentOfInertiaRotor_KgM2,2.49290543451094e-05
ResistanceCoil_Ohm,3.876614399021399e-05
ResistanceSinglePhase_Ohm,
ResistanceMachinePhase_Ohm,0.00015506457596085597
AirgapTangentialForceAverage_N,-54.086774324406065
AirgapAxialForceAverage_N,342.59021163790067
AirgapRadialForceAverage_N,-6.3669824632827074
AirgapShearStress_Pa,48839.86487219097
MagnetAxialForcePositiveMaximum_N,0
MagnetAxialForcePositiveMinimum_N,0
MagnetAxialForceNegativeMaximum_N,-30.622710008493783
MagnetAxialForceNegativeMinimum_N,-10.347663849447029
MagnetRadialForcePositiveMaximum_N,28.96277532788823
MagnetRadialForceNegativeMaximum_N,-32.507443373741005
MagnetTangentialForceMaximum_N,31.000889227726447
MagnetForceElecFrequency_Hz,583.3333333333333
MagnetForceMechFrequency_Hz,83.33333333333333
OutputMinCoreWidth_mm,2.344
DAxisAlignmentAngle_Deg,55.05204902461586
PermanentMagnetFluxLinkageNoLoadMin_mWb,0.23406759083904696
PermanentMagnetFluxLinkageNoLoadMax_mWb,0.25115535773260816
PermanentMagnetFluxLinkageNoLoadAvg_mWb,0.24261147428582758
TotalMachineCost_USD,
